message,label
Your debit card has been temporarily blocked for security reasons. Call our fraud department immediately on 08712345678.,1
Your Netflix account is suspended due to billing error. Update your payment details now: http://netflix-renew-sub.top,1
Your Facebook account will be disabled for policy violation. Appeal immediately within 24h at http://meta-appeal-desk.biz,1
Good morning! Just checking in to see if you received the files I sent.,0
Reminder: Team standup starts in 15 minutes in conference room 3.,0
"Hey, did you catch the football game yesterday? Incredible ending!",0
Your haircut appointment with Sarah is scheduled for Friday at 5pm.,0
FINAL WARNING: Your Apple ID is scheduled for deletion in 24 hours. Sign in now to cancel request: http://apple-auth-support.com,1
Are you coming to John's birthday dinner on Saturday night?,0
"Hey Aryan, are we still meeting for coffee at 4pm today?",0
Can you email me the updated spreadsheet whenever you get a chance?,0
"Hi mom, I arrived safely at the train station, see you in 20 minutes.",0
Warning: Your email storage quota is 99% full. Incoming messages will be bounced. Upgrade immediately at http://mail-quota-admin.xyz,1
Let me know when you are free for a quick sync call about the quarterly budget.,0
Action Required: Your Wells Fargo security token has expired. Re-authenticate your account: http://wellsfargo-token.cc,1
The meeting has been rescheduled to Thursday afternoon at 2 PM.,0
"CONGRATULATIONS! You have won a $1,000 Walmart Gift Card. Claim your prize immediately at http://walmart-winner.xyz/claim",1
"Alert from IRS: You have a pending tax refund of $1,420. Call 0800-123-456 immediately or visit http://irs-tax-gov.info/refund",1
Don't forget to push your code changes to GitHub before ending today.,0
Great job on the presentation today! The client was very impressed.,0
FINAL WARNING: Your Apple ID is scheduled for deletion in 24 hours. Sign in now to cancel request: http://apple-auth-support.com,1
URGENT: Your mobile plan will be terminated in 2 hours due to overdue balance. Pay instantly at http://att-payment-portal.info,1
Your appointment with Dr. Smith is confirmed for tomorrow at 10:30 AM.,0
The doctor's office called to let you know your test results came back normal.,0
ALERT: Your social security number has been linked to criminal activity. Call our federal agent immediately at 800-555-0199.,1
Your Uber ride is arriving in 3 minutes. Toyota Camry license plate XYZ123.,0
Your Uber ride is arriving in 3 minutes. Toyota Camry license plate XYZ123.,0
"PayPal: You sent $850.00 to John Doe. If you did not authorize this, call us immediately at 1-888-299-1928.",1
The library book 'Clean Code' is due in 3 days. Please return or renew.,0
Claim your $750 Cash App reward today. Available to first 50 respondents only! Click http://cashapp-free-reward.top,1
Here is the receipt for your grocery purchase at Whole Foods: $42.50.,0
Your haircut appointment with Sarah is scheduled for Friday at 5pm.,0
CRITICAL: Unpaid toll invoice detected for license plate #4928. Pay immediately to avoid $150 court penalty: http://ezpass-pay.top,1
Can you please pick up milk and bread on your way back from the store?,0
"Your lottery ticket matching draw #8932 won $50,000! Contact agent via WhatsApp +1234567890 to arrange your bank transfer.",1
"Hi mom, I arrived safely at the train station, see you in 20 minutes.",0
Security Notice: Someone attempted to change your Google account password. Confirm your identity: http://g-security-verify.net,1
Action Required: Your Wells Fargo security token has expired. Re-authenticate your account: http://wellsfargo-token.cc,1
Are you coming to John's birthday dinner on Saturday night?,0
"Thanks for the dinner invitation, we would love to come over this weekend.",0
"I'm running about 10 minutes late due to traffic, see you soon!",0
The library book 'Clean Code' is due in 3 days. Please return or renew.,0
Your package from Amazon was delivered to your front porch.,0
Your Facebook account will be disabled for policy violation. Appeal immediately within 24h at http://meta-appeal-desk.biz,1
"Thanks for sending over the project proposal, I will review it by Monday.",0
Reminder: Team standup starts in 15 minutes in conference room 3.,0
"Urgent security alert: Suspicious login from Moscow detected on your account. If this was not you, visit http://chase-protect.xyz/auth",1
"Hey Aryan, are we still meeting for coffee at 4pm today?",0
"Amazon Notice: Unrecognized order for iPhone 15 Pro ($999). If you did not make this purchase, call 1-800-FAKE-NUM immediately.",1
Your flight AA1234 is on time. Gate departure is B22.,0
"I'm running about 10 minutes late due to traffic, see you soon!",0
Can you please pick up milk and bread on your way back from the store?,0
The doctor's office called to let you know your test results came back normal.,0
